resume_text,job_desc,label
"Experienced Python developer with ML background","Data Scientist","Suitable"
"Marketing graduate with social media expertise","Digital Marketing","Suitable"
"Fresh graduate with basic C programming knowledge","Software Engineer","Not Suitable"
"Project manager with PMP certification","Project Manager","Suitable"
"Teacher with classroom experience","Data Scientist","Not Suitable"
"Java developer with Spring Boot experience","Backend Developer","Suitable"
"Graduate with C and Python basics","Software Engineer","Not Suitable"
"Python programmer with data analysis projects","Data Analyst","Suitable"
"Business graduate with finance internship","Financial Analyst","Suitable"
"Mechanical engineer with CAD knowledge","Software Engineer","Not Suitable"
